,,,,,,,,,,,,,,,URL REFERENCIAL,,,
DATA DE ATUALIZAÇÃO,,,,SITUAÇÃO,AGUARDANDO,,,VALOR TOTAL ESTIMADO:,,,,,,,,,,
CÓDIGO UNIVALI,,ITEM ,,CATEGORIA,,QUANTIDADE,,UNIDADES,,ESPECIFICAÇÃO,,,,,,,,Value
,,Cesto de Agulhas,,ARTESANATO,,2,,UNIDADES,,Cesto de agulha tamanhos diferentes,,,,,https://www.amazon.com.br/Agulhas-m%C3%A3o-sortidas-Singer-01125/dp/B002PI751C/ref=sr_1_5?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=3J6ZRIRESY9YB&keywords=agulha+de+costura&qid=1688492491&sprefix=agulhas+de+costur%2Caps%2C245&sr=8-5,,,"R$ 0,00"
680300005,,Rolo de Barbante,,ARTESANATO,,1,,PACOTES,,Pacote com 4 rolos de barabante de algodão preto,,,,,https://www.magazineluiza.com.br/barbante-de-algodao-4-4-4-x82m-pacote-com-4-rolos-valtex/p/db0he45607/am/bcru/?&seller_id=rcdshop&utm_source=google&utm_medium=pla&utm_campaign=&partner_id=69579&gclid=CjwKCAjw-vmkBhBMEiwAlrMeFzrcKQWLHBR3lua55yfIPvam4p2TotcnJ6mmqwR6CHL8F5P30k5G0RoCn4wQAvD_BwE&gclsrc=aw.ds,,,"R$ 0,00"
,,Fita crepe,,ARTESANATO,,3,,UNIDADES,,Fita crepe 24 MM ,,,,,https://www.amazon.com.br/FITA-CREPE-GERAL-ADERE-423S/dp/B0963JBTHG/ref=sr_1_3?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=OJMO7X2P53I7&keywords=fita+crepe+24mm&qid=1688492536&sprefix=agulha+de+costura%2Caps%2C266&sr=8-3,,,"R$ 14,33"
,,Fita crepe,,ARTESANATO,,3,,UNIDADES,,Fita crepe 48 MM ,,,,,https://www.amazon.com.br/Fita-Crepe-48mm-x-50m-TEKBOND-21111048500/dp/B0785157MC/ref=sr_1_1?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=3LK5AIUB2T69G&keywords=fita+crepe+48mm&qid=1688492575&sprefix=fita+crepe+48+mm%2Caps%2C342&sr=8-1,,,"R$ 0,00"
,,Fita durex,,ARTESANATO,,8,,UNIDADES,,Fita durex 24 MM,,,,,https://www.magazineluiza.com.br/fita-pp-24mm-x-50m-3m-durex-transparente-4802-com-5-unidades/p/hhj28ej8eb/pa/pfia/,,,"R$ 15,00"
,,Fita durex,,ARTESANATO,,8,,UNIDADES,,Fita durex 48MM,,,,,https://www.amazon.com.br/Fita-Adesiva-48mm-100m-Transparente/dp/B09WPHWJX5/ref=sr_1_1?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=LMIUDV8IYYSK&keywords=fita+durex+48mm&qid=1688492612&sprefix=fita+durex+48mm%2Caps%2C270&sr=8-1&ufe=app_do%3Aamzn1.fos.6d798eae-cadf-45de-946a-f477d47705b9,,,"R$ 29,90"
,,TNT,,ARTESANATO,,1,,UNIDADES,,"Tnt preto 40g 10 Metros 1,40 largura",,,,,https://www.amazon.com.br/TNT-40g-Metros-largura-Preto/dp/B0BSR3Z75B/ref=asc_df_B0BSR3Z75B/?tag=googleshopp00-20&linkCode=df0&hvadid=647622609761&hvpos=&hvnetw=g&hvrand=7366965815107410347&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9102254&hvtargid=pla-1968555777568&psc=1,,,"R$ 0,00"
,,TNT,,ARTESANATO,,1,,UNIDADES,,"Tnt Branco 40g 10 Metros 1,40 largura",,,,,https://www.amazon.com.br/TNT-40g-Metros-largura-Preto/dp/B0BSR4DX2F/ref=asc_df_B0BSR3Z75B/?tag=googleshopp00-20&linkCode=df0&hvadid=647622609761&hvpos=&hvnetw=g&hvrand=7366965815107410347&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9102254&hvtargid=pla-1968555777568&th=1,,,"R$ 0,00"
,,TNT,,ARTESANATO,,1,,UNIDADES,,"Tnt Azul 40g 10 Metros 1,40 largura",,,,,https://www.amazon.com.br/TNT-40g-Metros-largura-Preto/dp/B0BSR3RNV1/ref=asc_df_B0BSR3Z75B/?tag=googleshopp00-20&linkCode=df0&hvadid=647622609761&hvpos=&hvnetw=g&hvrand=7366965815107410347&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9102254&hvtargid=pla-1968555777568&th=1,,,"R$ 19,90"
,,TNT,,ARTESANATO,,1,,UNIDADES,,"Tnt Pink 40g 10 Metros 1,40 largura",,,,,https://www.amazon.com.br/TNT-40g-Metros-largura-Preto/dp/B0BSR38DQN/ref=asc_df_B0BSR3Z75B/?tag=googleshopp00-20&linkCode=df0&hvadid=647622609761&hvpos=&hvnetw=g&hvrand=7366965815107410347&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9102254&hvtargid=pla-1968555777568&th=1,,,"R$ 0,00"
